"date_published","title","guid","provider"
"2019-05-14 16:05:13.548708+00","PENGARUH PELAKSANAAN SUPERVISI PENDIDIKAN TERHADAP KINERJA GURU DI SEKOLAH","w32mu","INA-Rxiv"
"2019-05-14 16:14:50.46339+00","Supervisi Pendidikan AP","c5uem","INA-Rxiv"
"2019-05-14 16:15:58.685076+00","Holographic focusing the space-time","s25e9","Open Science Framework"
"2019-05-14 17:27:13.773561+00","Is this Educational World We Created?","6txmh","INA-Rxiv"
"2019-05-14 17:27:16.786552+00","Chemistry Style in Endnote for making Manuscript","y9762","INA-Rxiv"
"2019-05-14 17:41:32.692497+00","Frequency Analysis of Vortex Shedding in Wake Area behind the NACA0012 Airfoil via Fully-Lagrangian Vortex Element Method","5xv76","engrXiv"
"2019-05-14 19:09:34.230706+00","Intellectuals in the Middle Ages, Jacques Le Goff. – Birth of a social category, and discipline.","hfwtv","Open Science Framework"
"2019-05-14 17:43:02.482514+00","Patience, patients, and the potential of medical preprints","e3jgu","Open Science Framework"
"2019-05-14 19:36:35.207098+00","Individual differences in vigilance: Implications for measuring sustained attention and its association with other cognitive abilities and psychological constructs","nc9b6","PsyArXiv"
"2019-05-14 14:18:28.76477+00","On trading off labor and leisure:  A process model of perceived autonomy and opportunity costs","25gqp","PsyArXiv"
"2019-05-14 14:07:01.261826+00","Nature and evoked culture: sex differences in personality are uniquely correlated with ecological stress.","u73gh","PsyArXiv"
"2019-05-14 11:56:54.029245+00","Celebrations amongst challenges: Considering the past, present and future of the Qualitative Methods in Psychology (QMiP) section of the British Psychological Society","xnqdv","PsyArXiv"
"2019-05-24 07:22:07.336103+00","Augmented Modality Exclusivity Norms for Concrete and Abstract Italian Property Words","7xsnz","Open Science Framework"
"2019-05-21 17:13:07.027779+00","Recognition of identity and expressions as integrated processes","9c2e5","PsyArXiv"
"2019-05-14 21:17:50.948623+00","KOMPETENSI PROFESIONALISME GURU INDONESIA DALAM MENGHADAPI MEA","czxus","INA-Rxiv"
"2019-05-14 21:29:40.998353+00","KEMAMPUAN PEDAGOGIK GURU","wnc47","INA-Rxiv"
"2019-05-21 17:07:24.646764+00","Biased, aware, and threatened: Reducing bias-aware Whites' intergroup concerns through a moral affirmation","b9m7u","PsyArXiv"
"2019-05-14 21:37:27.995282+00","Complexity and learnability in the explanation of semantic universals of quantifiers","f8dbp","PsyArXiv"
"2019-05-14 21:59:52.631433+00","A mindfulness and loving-kindness intervention results in durable preservice teacher reductions in implicit race bias","prmc9","MindRxiv"
"2019-05-20 12:14:39.19793+00","People Analytics to the Rescue: Digital Trails of Work Stressors","wxcqp","Open Science Framework"
"2019-05-14 13:00:40.946922+00","Weber, Durkheim, and the Duality of Structure in Modern Society","3uvkr","SocArXiv"
"2019-05-14 13:00:03.434327+00","The  Situation  of Woman and Desdemona in Beauvoir’s  The Second Sex","aq4tp","SocArXiv"
"2019-05-14 23:55:22.674148+00","Representation of European hydroclimatic patterns with Self-Organizing Maps","g28d6","EarthArXiv"
"2019-05-14 23:56:05.211016+00","Extension at the coast of the Makran subduction zone (Iran)","68w3b","EarthArXiv"
"2019-05-15 00:24:23.047989+00","DAMPAK PEMBENTUKAN DAERAH OTONOMI BARU (DOB) PROVINSI KALIMANTAN UTARA TERHADAP STABILITAS  PEREKONOMIAN DI KABUPATEN BULUNGAN","kmd9a","Open Science Framework"
"2019-05-15 00:42:08.982759+00","Pesona Pulau Berhala Sebagai Daya Tarik Wisata di Provinsi Jambi","hyk5g","Open Science Framework"
"2019-05-15 00:46:45.353173+00","TAMAN SARI SEBAGAI OBJEK WISATA DI YOGYAKARTA","4hfkp","Open Science Framework"
"2019-05-15 00:50:43.647998+00","PESONA PANTAI INDRAYANTI SEBAGAI DAYA TARIK WISATA DI GUNUNGKIDUL","95ha2","Open Science Framework"
"2019-05-15 00:55:33.096101+00","GOA SELARONG SEBAGAI WISATA BERSEJARAH DI DAERAH ISTIMEWA YOGYAKARTA","j4n2h","Open Science Framework"
"2019-05-24 07:48:40.361718+00","PERANCANGAN SISTEM INFORMASI MANAJEMEN SURAT MASUK DAN SURAT KELUAR  PADA UNIVERSITAS AL AMIN MUHAMMADIYAH SORONG","v2qr3","INA-Rxiv"
"2019-05-21 17:16:33.764327+00","Bias awareness predicts color conscious racial socialization methods among White parents","3guws","PsyArXiv"
"2019-05-15 00:58:42.318116+00","KEISTIMEWAAN TARI JARANAN TURANGGA YAKSA  KABUPATEN TRENGGALEK","mnjca","Open Science Framework"
"2019-05-15 01:09:49.982352+00","supervisi pendidikan","8vkdw","INA-Rxiv"
"2019-05-15 01:11:35.71103+00","TAMAN WISATA ALAM TANGKUBAN PERAHU SEBAGAI DAYA TARIK WISATA DI BANDUNG","n432h","Open Science Framework"
"2019-05-15 01:29:08.450956+00","Inspirasi Batin","kube2","Open Science Framework"
"2019-05-15 01:34:48.530823+00","Tafsiran Surat Filipi: Sebuah Analisis Colon","tsjv4","Open Science Framework"
"2019-05-15 01:41:25.357557+00","Analisis Wacana Surat Filemon","fqbp8","Open Science Framework"
"2019-05-15 01:45:43.962582+00","Sintaksis Bahasa Yunani Perjanjian Baru","d823s","Open Science Framework"
"2019-05-15 01:49:26.479744+00","Konsep Sukacita Di dalam Surat Filipi","mzq8g","Open Science Framework"
"2019-05-15 01:53:28.630995+00","Analisis Teks Narasi dan Surat Dalam Perjanjian Baru","q4g8w","Open Science Framework"
"2019-05-15 01:57:04.02752+00","50 Buah Pikiran: Sebuah Kajian Teks Perjanjian Baru","dgfws","Open Science Framework"
"2019-05-15 01:58:29.041218+00","supervisi pendidikan","ew6h3","INA-Rxiv"
"2019-05-15 02:01:19.003476+00","Panduan Penulisan Karya Ilmiah","28ayd","Open Science Framework"
"2019-05-15 02:49:41.523932+00","CARA MENANGGULANGI KUALITAS PENDIDIKAN DI INDONESIA MELALUI SUPERVISI PENDIDIKAN BERDASARKAN PENYEBAB NYATA RENDAHNYA KUALITAS PENDIDIKAN","xyu9e","INA-Rxiv"
"2019-05-15 03:06:55.068818+00","She looks away, he looks back : translation as reflection of our times.","rz89n","Open Science Framework"
"2019-05-15 04:14:25.65225+00","PENTINGNYA KEPALA SEKOLAH MENGETAHUI TEKNIK-TEKNIK SUPERVISI DALAM RANGKA MENINGKATKAN KINERGA GURU","zqnju","INA-Rxiv"
"2019-05-15 04:32:49.513426+00","PENGARUH PELAKSANAAN SUPERVISI PENDIDIKAN OLEH KEPALA SEKOLAH TERHADAP KINERJA GURU DISEKOLAH","hc4k8","INA-Rxiv"
"2019-05-15 04:43:38.239077+00","MATHEMATICAL REASONING AND SELF REGULATED LEARNING TOWARDS STUDENTS' PROBLEM SOLVING ABILITY","mcp3h","Open Science Framework"
"2019-05-15 04:52:04.058719+00","Integration of the Technology Readiness and Adoption Models for Assessing IT Use among SMEs in Indonesia","eu65m","INA-Rxiv"
"2019-05-15 05:16:39.258748+00","Analisa Postur Kerja Pada Karyawan Dengan Menggunakan Metode RULA Pada PT. ISKW","k2gah","INA-Rxiv"
"2019-05-15 05:20:13.304179+00","Asymmetric belief sensitivity and justification explain the Wells Effect","m3ht7","PsyArXiv"
"2019-05-21 18:45:18.034302+00","STUDENTS’ PERCEPTION OF PEER EVALUATION IN ORAL PRESENTATION AT THE UNIVERSITY OF INDONESIA","wv5ns","Open Science Framework"
"2019-05-15 05:25:21.656434+00","Review Industri Baja","b2sh7","INA-Rxiv"
"2019-05-15 05:40:13.987164+00","PENGARUH SUPERVISI KEPALA SEKOLAH  TERHADAP KINERJA GURU DI SEKOLAH","7qby3","INA-Rxiv"
"2019-05-15 05:42:46.14237+00","Usulan Pengukuran Produktivitas Divisi Gelcoat Di PT. XYZ Dengan Metode Objective Matrix (OMAX)","jez9g","INA-Rxiv"
"2019-05-15 05:49:01.26501+00","Analisa Kualitas Air Tanah Daerah Industri Di Bekasi Dan Kualitas Air Tanah Daerah Pemukiman Penduduk Di Depok, Jawa Barat, Indonesia","5nc29","INA-Rxiv"
"2019-05-15 05:33:10.020845+00","Analisa Kinerja Mesin Horizontal Borring (HB) Dengan Menggunakan Metode Overall Equipment Efectiveness (OEE) Di PT XYZ","2fnd8","INA-Rxiv"
"2019-05-15 06:01:16.793606+00","Pengukuran Waktu Baku Proses Mixing, Filling dan Packing Mood Lipstick Menggunakan Metode Pengukuran Waktu Jam Henti di PT. X","ekrm5","INA-Rxiv"
"2019-05-15 06:04:43.306479+00","Analisis Kepuasan Pelanggan Terhadap Pelayanan Jasa Transportasi Massal Dengan Menggunakan Metode Servqual Pada PT. Mayasari Bakti (Studi Kasus : Rute Cileungsi - Blok M Jaya)","76hxe","INA-Rxiv"
"2019-05-15 06:10:09.01266+00","Pengendalian Kualitas Produk Stripe Dengan Metode DMAIC (Define, Measure, Analyze, Improve And Control) Di PT. Grafindo Mitrasemesta","qatws","INA-Rxiv"
"2019-05-15 06:35:23.834656+00","Supervisi Pendidikan","e5cwu","INA-Rxiv"
"2019-05-15 07:11:31.956557+00","KEMAMPUAN MEMBACA TEKS PIDATO SEBAGAI SALAH SATU BENTUK MEMBACA TEKNIK","5hbvq","INA-Rxiv"
"2019-05-15 07:11:39.702001+00","KETERAMPILAN MENYIMAK KRITIS, BAHAN SIMAKAN: PIDATO","uh2p3","INA-Rxiv"
"2019-05-15 07:42:52.705747+00","HUBUNGAN KURIKULUM 2013 DENGAN MOTIVASI BELAJAR PESERTA DIDIK DI SMK PELITA CIAMPEA","cbp7f","INA-Rxiv"
"2019-05-15 08:19:15.505759+00","Supervisi Pendidikan","3rvjm","INA-Rxiv"
"2019-05-15 08:26:09.044615+00","Atypical cortical connectivity in autism spectrum disorder (ASD) as measured by magnetoencephalography (MEG)","42ghu","Thesis Commons"
"2019-05-14 14:41:26.782995+00","“They turn to you first for everything”: insights into midwives’ perspectives of providing physical activity advice and guidance to pregnant women.","8uc9z","SportRxiv"
"2019-05-15 09:00:28.940089+00","SUPERVISI PENDIDIKAN","95wqd","INA-Rxiv"
"2019-05-15 09:11:26.818002+00","supervisi pendidikan","6eryh","INA-Rxiv"
"2019-05-15 09:21:22.063576+00","SUPERVISI PENDIDIKAN DALAM MENINGKATAN MUTU PENDIDIKAN DI SEKOLAH","t9bva","INA-Rxiv"
"2019-05-15 09:37:16.166877+00","PENERAPAN SUPERVISI PENDIDIKAN DALAM MENINGKATKAN KOMPETENSI GURU DAN PROFESIONALITAS GURU","5gfh4","INA-Rxiv"
"2019-05-15 09:52:42.142172+00","Correlations Between Social Dominance Orientation and Political Attitudes Reflect Common Genetic Underpinnings: A Twin Study","9bfaj","Open Science Framework"
"2019-05-21 19:00:32.342001+00","ANALISIS FREKUENSI DAN PENGGUNAAN INFORMATION TECHNOLOGIES (IT) UNTUK TUJUAN AKADEMIK PROSES PENGAJARAN DAN PEMBELAJARAN MATA KULIAH BAHASA INGGRIS DI UNIVERSITAS INDONESIA","cmjgd","Open Science Framework"
"2019-05-15 11:03:02.577141+00","The Power of Presidential Legislation After The Amendment of UUD 1945","u7sgb","Open Science Framework"
"2019-05-15 11:03:58.568786+00","The Design and Development of Identification of Students' Misconceptions in Individualized Learning Environment (iSMILE) System","6k5pz","SocArXiv"
"2019-05-15 11:06:43.765238+00","“Thirst for Obedience”: A Freudian Analysis of the Father-Leader in Adorno and Beauvoir","znmcq","SocArXiv"
"2019-05-15 11:34:33.306656+00","The Power Of Presidential Legislation After The Amendment of UUD 1945","cvxt3","INA-Rxiv"
"2019-05-15 11:53:27.847663+00","TUGAS AKHIR SUPERVISI PENDIDIKAN","ers4m","INA-Rxiv"
"2019-05-15 12:15:00.474602+00","supervisi pendidikan","f2eru","INA-Rxiv"
"2019-05-15 12:39:16.763813+00","PENGARUH PENDEKATAN ALTERNATIF DALAM PELAKSANAAN SUPERVISI PENGAJARAN","v7wyf","INA-Rxiv"
"2019-05-15 12:50:47.967898+00","PENGARUH METODE BERCERITA TERHADAP PERKEMBANGAN BAHASA DAN KARAKTER ANAK SEKOLAH DASAR","m3f9e","INA-Rxiv"
"2019-05-15 12:59:20.53447+00","Studi Kinetika Ekstrak Daun Jambu Biji sebagai Obat Penyembuh Diare","2fmvb","INA-Rxiv"
"2019-05-15 13:00:45.581452+00","How much energy can optimal control of domestic water heating save?","xnq4t","engrXiv"
"2019-05-15 13:25:56.886614+00","Average intellectuals / Intellectuels Moyens : new translation of Jacques Le Goff's Intellectuals in the Middle Ages.","r26tg","Open Science Framework"
"2019-05-15 13:28:29.064808+00","Studi Katalitik Herbal Pemanfaatan Tanaman  Brotowali (Tinospora Cordifolia) sebagai Obat Penurun  Kadar Glukosa Darah (Diabetes Mellitus)","6syqv","INA-Rxiv"
"2019-05-14 23:54:47.188848+00","Holocene sedimentary record and coastal evolution in the Makran subduction zone (Iran)","a5b7v","EarthArXiv"
"2019-05-15 13:28:29.792283+00","Studi Katalitik Herbal Rebusan Daun Salam sebagai Bahan Aktif Menurunkan Tekanan Darah Tinggi","ruqd8","INA-Rxiv"
"2019-05-15 13:30:07.617556+00","Studi Kinetika terhadap Rebusan Daun Alpukat Untuk Menghilangkan Sakit  Kepala","e49z3","INA-Rxiv"
"2019-05-21 19:39:39.326685+00","Penggunaan Metode Modelling The Way Berbantu Media Audio Visual Untuk Meningkatkan Motivasi, Minat  dan Hasil Belajar","hxc6n","INA-Rxiv"
"2019-05-15 10:36:35.184275+00","The Journey of a Prescription: Authentic Interprofessional Education Simulation of the Patient and Prescription Flow through Prescriber and Dispenser","jdeys","Open Science Framework"
"2019-05-15 14:23:03.763614+00","SUPERVISI AKADEMIK DALAM UPAYA PENINGKATAN MOTIVASI GURU MENYUSUN PERANGKAT PERSIAPAN PEMBELAJARAN","y38cz","INA-Rxiv"
"2019-05-15 15:11:46.257645+00","Forced folding and fracturing induced by differential compaction during post-depositional inflation of sandbodies: insights from numerical modelling","kns7r","EarthArXiv"
"2019-05-15 15:17:20.742973+00","Pleistocene coastal evolution of the Makran subduction zone","95f4e","EarthArXiv"
"2019-05-15 15:37:38.498509+00","Temporary Assistance for Needy Families and the Black-White Child Poverty Gap in the United States","cv4wg","Open Science Framework"
"2019-05-21 21:22:51.996896+00","Within-Person Variability","kavbp","PsyArXiv"
"2019-05-15 17:03:30.418244+00","AKIBAT HUKUM PERKAWINAN CAMPURAN TERHADAP STATUS KEWARGANEGARAAN","23fmr","INA-Rxiv"
"2019-05-15 17:27:05.044637+00","KORELASI PENGUASAAN TIK GURU DENGAN KEMAMPUAN TIK SISWA","j23zs","INA-Rxiv"
"2019-05-21 21:41:37.97024+00","Time-conjunctive representations of future events","kha98","PsyArXiv"
"2019-05-15 18:38:20.62464+00","Feature Selection","gzu3n","Open Science Framework"
"2019-05-15 18:55:45.802182+00","Feature Selection","kmjnr","Open Science Framework"
"2019-05-15 21:27:51.556447+00","PENGGUNAAN METODE DEMONTRASI DAN MEDIA AUDIO VISUAL DALAM MENINGKATKAN HASIL BELAJAR PESERTA DIDIK MATA PELAJARAN IPS","qrhsf","INA-Rxiv"
"2019-05-21 22:14:52.923572+00","The source matters: Agreement and accuracy of race and ethnicity codes in Medicare administrativeand assessment data","ts98h","Open Science Framework"
"2019-05-15 17:00:29.005873+00","Recreational fishers consistently inform about different meridionalization dynamics of two Mediterranean subregions","jnx5u","MarXiv"
"2019-05-15 22:49:46.904727+00","A systematic review and meta-analysis of age-related differences in trust","we7vh","Open Science Framework"
"2019-05-15 23:19:45.506749+00","Comment on linear data-fitting methods","56w7k","Open Science Framework"
"2019-05-16 01:36:03.42401+00","A Solution for Dynamic Spectrum Management in Mission-Critical UAV Networks","x9emb","engrXiv"
"2019-05-15 17:27:18.855685+00","Replicating Natures Fabric - High Information Markets and the Sustainability of Global Seafood","3vz2a","EcoEvoRxiv"
"2019-05-14 08:56:01.372516+00","Administrasi Pendidikan di Indonesia","2fhyc","INA-Rxiv"
"2019-05-16 02:13:27.458308+00","The Strategy of Simulation of Powered LED Lamp System (Solar Cell + Diesel Engine) For Traditional Fishing Vessels in Makassar","gszjr","INA-Rxiv"
"2019-05-16 02:54:30.599666+00","Reinforcing at the Top or Compensating at the Bottom? Family Background and Academic Performance in Germany, Norway, and the United States","n6cgk","SocArXiv"
"2019-05-16 02:56:29.764197+00","Computational observation: Challenges and opportunities of automated observation within algorithmically curated media environments using a browser plug-in","xd63n","SocArXiv"
"2019-05-16 02:57:06.254579+00","An Experimental Study of Recommendation Algorithms for Tailored Health Communication","nu6tg","SocArXiv"
"2019-05-16 02:57:52.904028+00","Learning Geographical Manifolds: A Kernel Trick for Geographical Machine Learning","75s8v","SocArXiv"
"2019-05-16 02:58:39.64676+00","Effect Decomposition in the Presence of Treatment-induced Confounding: A Regression-with-residuals Approach","86d2k","SocArXiv"
"2019-05-16 05:08:07.24651+00","Supervisi Pendidikan","fs5a8","INA-Rxiv"
"2019-05-16 05:45:56.559277+00","MENINGKATKAN MUTU PENDIDIKAN MELALUI SUPERVISI PENDIDIKAN","5a8j3","INA-Rxiv"
"2019-05-16 06:43:14.16232+00","EMPATI DAN PENGGUNAAN SITUS JEJARING SOSIAL SEBAGAI FAKTOR DALAM MEMBENTUK MORAL REMAJA","2wkyb","Open Science Framework"
"2019-05-16 06:54:38.176724+00","PENGEMBANGAN SKALA MODAL SOSIAL PADA REMAJA","akgvy","Open Science Framework"
"2019-05-16 07:02:37.267967+00","PENGARUH SIKAP BELANJA ONLINE TERHADAP TRUST MELALUI MEDIATOR KEPUASAN PELANGGAN","fjae2","Open Science Framework"
"2019-05-22 00:07:52.245975+00","Clergyman, Cleric, and Religious Leader: An Experiment on Alternative Reference Individuals for the Free Expression Items","8m7v6","SocArXiv"
"2019-05-22 01:02:18.884032+00","Blockchain and its Role in the Internet of Things (IoT)","cmza5","Open Science Framework"
"2019-05-21 16:17:36.895493+00","BrainIAK tutorials: user-friendly learning materials for advanced fMRI analysis","j4sbc","Open Science Framework"
"2019-05-16 08:13:11.772893+00","Menulis: Karya Tulis Ilmiah","mzasv","INA-Rxiv"
"2019-05-16 08:46:31.039544+00","Pengembangan Supervisi Klinis Untuk Meningkatkan Keterampilan  Dasar Mengajar Guru Dalam Dunia Pendidikan","easrx","INA-Rxiv"
"2019-05-16 09:07:51.023004+00","Teachers versus Extension Agents from Education Perspective","yvbmn","INA-Rxiv"
"2019-05-16 09:39:12.000187+00","‘Average intellectuals’ and the Middle ages : an introduction with translation, and apparatus.","fdbep","Open Science Framework"
"2019-05-22 03:19:46.088525+00","Konsep Dasar, Proses dan Ruang Lingkup Administrasi Pendidikan","a2ksg","INA-Rxiv"
"2019-05-16 09:45:23.370356+00","Yang Datang Setelah Hujan:  Sains-Agama Penerang Kegelapan","nfx4v","INA-Rxiv"
"2019-05-25 00:14:47.905912+00","Ilmu Sosial  Dasar","675mh","INA-Rxiv"
"2019-05-16 10:21:56.367582+00","Pendugaan Standar Deviasi untuk Sampel Kecil dalam Penelitian Pertanian","t7kp4","INA-Rxiv"
"2019-05-16 12:43:24.49247+00","Kompetensi Pengawas Supervisi Pendidikan pada SMP di Semarang","tep94","Open Science Framework"
"2019-05-16 13:53:25.695965+00","Design and analysis of the porous ZrO2/(ZrO2+Ni) ceramic joint with load bearing-heat insulation integration","xp7va","engrXiv"
"2019-05-16 13:54:07.317012+00","Load distribution in threads of porous metal-ceramic functionally graded composite joints subjected to thermomechanical loading","j6vyg","engrXiv"
"2019-05-16 13:56:35.513559+00","KETERAMPILAN MENULIS RESENSI","u26dz","INA-Rxiv"
"2019-05-16 15:14:51.806108+00","Wacana Humor dalam Gelar Wicara Ini Talkshow","w59xr","INA-Rxiv"
"2019-05-16 15:22:39.899479+00","Pengawasan supervisi akademik pada SMP di Semarang","qrtvc","INA-Rxiv"
"2019-05-22 04:27:25.870005+00","Perceptual Anchoring and Dyslexia - Systematic Review Protocol","47fvy","Open Science Framework"
"2019-05-24 09:10:54.690022+00","Supervisi","8nw56","INA-Rxiv"
"2019-05-16 15:35:58.266417+00","Teknik Skimming dalam Membaca Cepat","c56r7","INA-Rxiv"
"2019-05-16 12:17:30.413381+00","Better model transfers require knowledge of mechanisms","5rgej","MarXiv"
"2019-05-16 10:19:56.510762+00","Buku Petunjuk Praktikum (BPP): Mata Kuliah Biologi Perikanan","swbrk","MarXiv"
"2019-05-16 16:14:47.328929+00","PENTINGNYA KEPALA SEKOLAH MENGETAHUI TEKNIK-TEKNIK SUPERVISI DALAM RANGKA MENINGKATKAN KINERGA GURU","8v5nu","INA-Rxiv"
"2019-05-16 16:29:38.328213+00","Evidence Accumulation Models: Current Limitations and Future Directions","74df9","PsyArXiv"
"2019-05-22 04:49:00.853093+00","The Effectiveness of Accompaniment Measures to Mother with Lbw In House after Kmc (Kangaroo Mother Care) Class on Improving Mother Skills","4wb76","INA-Rxiv"
"2019-05-16 16:17:58.579967+00","The bayesvl R package. Hướng dẫn sử dụng v0.8","yacs5","Open Science Framework"
"2019-05-16 16:37:35.812315+00","Keterampilan Berbicara Ceramah","jmv4h","INA-Rxiv"
"2019-05-16 17:04:15.264778+00","KORELASI PENGUASAAN TIK GURU DENGAN KEMAMPUAN TIK PESERTA DIDIK","fy9gb","INA-Rxiv"
"2019-05-16 17:34:30.786533+00","When do people use containment heuristics for physical predictions?","2bmsc","PsyArXiv"
"2019-05-16 17:22:00.731376+00","Artikel Administrasi Sarana dan Prasarana Pendidikan","ba86s","INA-Rxiv"
"2019-05-22 05:44:21.009589+00","From Latin to the Vernacular: Medieval Women’s Letters, 1000–1400","v7edp","BodoArXiv"
"2019-05-16 17:41:55.73358+00","Mapping visual features onto numbers","qw5vg","PsyArXiv"
"2019-05-16 17:50:25.152701+00","jurnal supervisi","8j357","INA-Rxiv"
"2019-05-22 06:49:58.829129+00","Tips &amp; Trik Microsoft Office Word untuk Penulisan Ilmiah","7s6rn","INA-Rxiv"
"2019-05-16 18:50:43.158513+00","Programa de Intervención para el Desarrollo de Habilidades Sociales en un Adolescente en Conflicto con la Ley","p8x9t","Thesis Commons"
"2019-05-16 20:24:24.39937+00","Recent Experimental Work on ‘Ought’ Implies ‘Can’","s2buv","Open Science Framework"
"2019-05-25 01:37:33.640107+00","KURIKULUM","8xfcw","INA-Rxiv"
"2019-05-16 20:39:48.600086+00","Shallow long-term slow slip events along the Nankai Trough detected by the GNSS-A","vq6ca","EarthArXiv"
"2019-05-16 20:43:34.132943+00","Norms and the meaning of omissive enabling conditions","mcwsn","Open Science Framework"
"2019-05-16 04:17:15.100772+00","The role of selection and evolution in changing parturition date in a red deer population","d4azb","EcoEvoRxiv"
"2019-05-15 16:05:26.955524+00","Ana RODRÍGUEZ, “De olvido y memoria. Cómo recordar a las mujeres poderosas en Castilla y León en los siglos XII y XIII”, Arenal, 25:2 (2018): pp. 271-294","rb692","BodoArXiv"
"2019-05-16 22:38:44.169791+00","The Individual True and Error Model: Getting the Most out of Limited Data","p3m4v","PsyArXiv"
"2019-05-17 00:08:50.139778+00","EVALUASI KUALITAS AIR PADA HULU TUKAD BADUNG DENGAN METODE STORET","rfpja","INA-Rxiv"
"2019-05-17 00:34:17.425299+00","IMPLEMENTASI SUPERVISI PENDIDIKAN DALAM MENINGKATKAN PROSES PEMBELAJARAN DI MIN SUKADAMAI KOTA BANDA ACEH","g2exw","INA-Rxiv"
"2019-05-15 03:17:15.564183+00","Riset Aksi Partisipatif Desa Sehat Berdaya","wmh48","INA-Rxiv"
"2019-05-17 00:49:17.135293+00","Well-being loss: a comprehensive metric for household disaster resilience","6r93z","EarthArXiv"
"2019-05-17 02:37:40.461084+00","When home is where the harm is: Family betrayal and posttraumatic outcomes in young adulthood","7hxjw","PsyArXiv"
"2019-05-17 02:55:50.457355+00","Examining the Effects of Social Stories on Challenging Behavior and Prosocial Skills in Young Children: A Systematic Review and Meta-Analysis","fch6t","PsyArXiv"
"2019-05-25 02:12:28.354834+00","Primer registro del género Panochthus Burmeister 1886 (Mammalia, Xenarthra, Glyptodontidae) para la provincia de Salta, Argentina","q6mea","PaleorXiv"
"2019-05-17 03:34:27.551182+00","Peran Orientasi Kewirausahaan Dalam Mendukung Teknologi Bersih","v2us4","INA-Rxiv"
"2019-05-16 17:07:29.615603+00","Keterampilan Berbahasa: Menyimak Berita","9xdvg","INA-Rxiv"
